base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.humidity,main.pressure,main.temp,main.temp_max,main.temp_min,name,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.speed,weather.description,weather.icon,weather.id,weather.main
stations,75,200,3.12,101.68,1538319600,1735161,94,1010,299.15,299.15,299.15,Kuala Lumpur,MY,8138,0.0065,1538262033,1538305544,1,3000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",5.00119,1.63,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538323200,1735161,94,1010,300.91,302.15,299.15,Kuala Lumpur,MY,8138,0.0072,1538262033,1538305544,1,2000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",5.00119,1.63,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538325000,1735161,83,1009,300.1,301.15,299.15,Kuala Lumpur,MY,8132,0.007,1538262032,1538305544,1,10000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",90,2.1,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538326800,1735161,83,1009,299.95,301.15,299.15,Kuala Lumpur,MY,8132,0.0823,1538262032,1538305543,1,10000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",32.0014,1.15,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538328600,1735161,83,1009,301.15,301.15,301.15,Kuala Lumpur,MY,8132,0.0095,1538262032,1538305542,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",32.0014,1.15,broken clouds,04n,803,Clouds
stations,75,200,3.12,101.68,1538330400,1735161,94,1009,299.68,300.15,299.15,Kuala Lumpur,MY,8138,0.0056,1538262031,1538305542,1,1500,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",1,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538332200,1735161,88,1008,299.62,300.15,299.15,Kuala Lumpur,MY,8132,0.027,1538262031,1538305541,1,10000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",32.0014,1.15,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538334000,1735161,94,1009,299.68,300.15,299.15,Kuala Lumpur,MY,8138,0.0065,1538262031,1538305541,1,1500,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",32.0014,1.15,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538335800,1735161,88,1008,299.62,300.15,299.15,Kuala Lumpur,MY,8132,0.0859,1538262030,1538305540,1,8000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",62.5038,1.57,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538337600,1735161,88,1009,299.15,299.15,299.15,Kuala Lumpur,MY,8138,0.0046,1538262030,1538305540,1,2000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",1,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538339400,1735161,94,1008,299.15,299.15,299.15,Kuala Lumpur,MY,8132,0.0048,1538262030,1538305539,1,8000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",1,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538341200,1735161,94,1008,299.15,299.15,299.15,Kuala Lumpur,MY,8132,0.0198,1538262029,1538305539,1,8000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",62.5038,1.57,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538343000,1735161,94,1008,299.15,299.15,299.15,Kuala Lumpur,MY,8132,0.005,1538262029,1538305538,1,8000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",40,2.1,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538344800,1735161,94,1009,298.68,299.15,298.15,Kuala Lumpur,MY,8138,0.0054,1538262029,1538305538,1,2000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",62.5038,1.57,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538346600,1735161,88,1008,298.62,299.15,298.15,Kuala Lumpur,MY,8132,0.1675,1538262028,1538305537,1,7000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",1,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538348400,1735161,94,1009,298.68,299.15,298.15,Kuala Lumpur,MY,8138,0.0051,1538262028,1538305537,1,1500,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",102.005,1.32,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538350200,1735161,94,1009,298.62,299.15,298.15,Kuala Lumpur,MY,8132,0.0149,1538348428,1538391936,1,6000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",102.005,1.32,mist,50n,701,Mist
stations,75,200,3.12,101.68,1538352000,1735161,94,1010,299.68,300.15,299.15,Kuala Lumpur,MY,8138,0.0065,1538348428,1538391936,1,1500,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",102.005,1.32,mist,50d,701,Mist
stations,75,200,3.12,101.68,1538353800,1735161,83,1010,300.1,301.15,299.15,Kuala Lumpur,MY,8132,0.0066,1538348427,1538391935,1,6000,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",50,1.5,mist,50d,701,Mist
stations,75,200,3.12,101.68,1538355600,1735161,88,1010,301.21,302.15,300.15,Kuala Lumpur,MY,8138,0.0059,1538348427,1538391935,1,2000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",102.005,1.32,haze,50d,721,Haze
stations,75,200,3.12,101.68,1538357400,1735161,70,1010,301.57,303.15,300.15,Kuala Lumpur,MY,8132,0.0067,1538348427,1538391934,1,8000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",160,1.5,haze,50d,721,Haze
stations,75,200,3.12,101.68,1538359200,1735161,74,1011,303.68,304.15,303.15,Kuala Lumpur,MY,8138,0.0051,1538348426,1538391934,1,6000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",151.001,1.78,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538361000,1735161,66,1010,303.63,304.15,303.15,Kuala Lumpur,MY,8132,0.006,1538348426,1538391933,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",160,3.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538362800,1735161,62,1011,305.15,305.15,305.15,Kuala Lumpur,MY,8138,0.0061,1538348426,1538391933,1,6000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",140,2.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538364600,1735161,59,1010,305.62,306.15,305.15,Kuala Lumpur,MY,8132,0.0065,1538348426,1538391932,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538366400,1735161,62,1010,305.68,306.15,305.15,Kuala Lumpur,MY,8138,0.0045,1538348425,1538391932,1,9000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",180,2.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538368200,1735161,62,1009,305.15,305.15,305.15,Kuala Lumpur,MY,8132,0.0067,1538348425,1538391931,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",180,2.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538370000,1735161,59,1009,306.15,306.15,306.15,Kuala Lumpur,MY,8138,0.0143,1538348425,1538391931,1,9000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538371800,1735161,55,1008,306.15,306.15,306.15,Kuala Lumpur,MY,8132,0.0052,1538348424,1538391930,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",180,3.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538373600,1735161,59,1008,306.15,306.15,306.15,Kuala Lumpur,MY,8138,0.0458,1538348424,1538391930,1,9000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",200,2.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538375400,1735161,59,1007,306.15,306.15,306.15,Kuala Lumpur,MY,8132,0.008,1538348424,1538391929,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",160,4.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538377200,1735161,88,1008,302.85,306.15,299.15,Kuala Lumpur,MY,8138,0.005,1538348423,1538391929,1,600,"[{'id': 202, 'main': 'Thunderstorm', 'description': 'thunderstorm with heavy rain', 'icon': '11d'}]",2.1,thunderstorm with heavy rain,11d,202,Thunderstorm
stations,75,200,3.12,101.68,1538379000,1735161,59,1006,302.46,306.15,299.15,Kuala Lumpur,MY,8132,0.0052,1538348423,1538391928,1,10000,"[{'id': 202, 'main': 'Thunderstorm', 'description': 'thunderstorm with heavy rain', 'icon': '11d'}]",160,4.1,thunderstorm with heavy rain,11d,202,Thunderstorm
stations,75,200,3.12,101.68,1538380800,1735161,66,1006,301.58,305.15,299.15,Kuala Lumpur,MY,8132,0.0048,1538348423,1538391928,1,10000,"[{'id': 202, 'main': 'Thunderstorm', 'description': 'thunderstorm with heavy rain', 'icon': '11d'}]",180,3.1,thunderstorm with heavy rain,11d,202,Thunderstorm
stations,75,200,3.12,101.68,1538382600,1735161,70,1006,300.99,304.15,298.15,Kuala Lumpur,MY,8132,0.0054,1538348422,1538391927,1,8000,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}, {'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",210,2.6,thunderstorm,11d,211,Thunderstorm
shower rain,09d,521,Rain
stations,75,200,3.12,101.68,1538384400,1735161,88,1007,299.74,301.15,298.15,Kuala Lumpur,MY,8138,0.0051,1538348422,1538391927,1,10000,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}, {'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",1,thunderstorm,11d,211,Thunderstorm
shower rain,09d,521,Rain
stations,75,200,3.12,101.68,1538386200,1735161,88,1007,299.1,300.15,298.15,Kuala Lumpur,MY,8132,0.0136,1538348422,1538391926,1,6000,"[{'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11d'}]",20,2.6,thunderstorm with rain,11d,201,Thunderstorm
stations,75,200,3.12,101.68,1538388000,1735161,88,1008,299.68,300.15,299.15,Kuala Lumpur,MY,8138,0.006,1538348422,1538391926,1,9000,"[{'id': 200, 'main': 'Thunderstorm', 'description': 'thunderstorm with light rain', 'icon': '11d'}]",1,thunderstorm with light rain,11d,200,Thunderstorm
stations,75,200,3.12,101.68,1538389800,1735161,94,1007,299.62,300.15,299.15,Kuala Lumpur,MY,8132,0.0057,1538348421,1538391925,1,8000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538391600,1735161,83,1008,300.15,300.15,300.15,Kuala Lumpur,MY,8138,0.0104,1538348421,1538391925,1,9000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",45.5098,1.97,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538393400,1735161,88,1008,300.15,300.15,300.15,Kuala Lumpur,MY,8132,0.1655,1538348421,1538391924,1,9000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",70,2.6,broken clouds,04n,803,Clouds
stations,75,200,3.12,101.68,1538395200,1735161,83,1009,300.15,300.15,300.15,Kuala Lumpur,MY,8138,0.0141,1538348420,1538391924,1,8000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",310,1.5,broken clouds,04n,803,Clouds
stations,75,200,3.12,101.68,1538397000,1735161,88,1009,300.15,300.15,300.15,Kuala Lumpur,MY,8132,0.0057,1538348420,1538391923,1,8000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",1.5,broken clouds,04n,803,Clouds
stations,75,200,3.12,101.68,1538398800,1735161,88,1010,299.68,300.15,299.15,Kuala Lumpur,MY,8138,0.0078,1538348420,1538391923,1,7000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",45.5098,1.97,broken clouds,04n,803,Clouds
stations,75,200,3.12,101.68,1538400600,1735161,88,1010,299.62,300.15,299.15,Kuala Lumpur,MY,8132,0.0052,1538348419,1538391922,1,8000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",1,broken clouds,04n,803,Clouds
stations,75,200,3.12,101.68,1538402400,1735161,88,1010,299.68,300.15,299.15,Kuala Lumpur,MY,8138,0.0068,1538348419,1538391921,1,5000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",37.0103,1.43,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538404200,1735161,83,1010,299.62,300.15,299.15,Kuala Lumpur,MY,8132,0.0052,1538348419,1538391921,1,7000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",50,1.5,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538406000,1735161,88,1011,299.68,300.15,299.15,Kuala Lumpur,MY,8138,0.0051,1538348419,1538391920,1,5000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",0.5,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538407800,1735161,83,1011,299.62,300.15,299.15,Kuala Lumpur,MY,8132,0.0047,1538348418,1538391920,1,7000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",1,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538409600,1735161,88,1011,299.68,300.15,299.15,Kuala Lumpur,MY,8138,0.0071,1538348418,1538391920,1,5000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",1,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538411400,1735161,83,1010,299.62,300.15,299.15,Kuala Lumpur,MY,8132,0.0068,1538348418,1538391919,1,7000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",1,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538413200,1735161,88,1011,299.68,300.15,299.15,Kuala Lumpur,MY,8138,0.0132,1538348417,1538391918,1,5000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",1,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538415000,1735161,83,1010,299.62,300.15,299.15,Kuala Lumpur,MY,8132,0.009,1538348417,1538391918,1,8000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",1,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538416800,1735161,94,1010,298.68,299.15,298.15,Kuala Lumpur,MY,8138,0.0054,1538348417,1538391917,1,5000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",40.5005,1.17,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538418600,1735161,94,1009,298.62,299.15,298.15,Kuala Lumpur,MY,8132,0.005,1538348416,1538391917,1,6000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",40.5005,1.17,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538420400,1735161,94,1009,298.68,299.15,298.15,Kuala Lumpur,MY,8138,0.0061,1538348416,1538391916,1,5000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}, {'id': 200, 'main': 'Thunderstorm', 'description': 'thunderstorm with light rain', 'icon': '11n'}]",40.5005,1.17,haze,50n,721,Haze
thunderstorm with light rain,11n,200,Thunderstorm
stations,75,200,3.12,101.68,1538422200,1735161,88,1009,298.62,299.15,298.15,Kuala Lumpur,MY,8132,0.0056,1538348416,1538391916,1,3000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}, {'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11n'}]",120,3.6,haze,50n,721,Haze
thunderstorm with rain,11n,201,Thunderstorm
stations,75,200,3.12,101.68,1538424000,1735161,88,1009,298.62,299.15,298.15,Kuala Lumpur,MY,8138,0.0079,1538348416,1538391915,1,3000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}, {'id': 202, 'main': 'Thunderstorm', 'description': 'thunderstorm with heavy rain', 'icon': '11n'}]",1,haze,50n,721,Haze
thunderstorm with heavy rain,11n,202,Thunderstorm
stations,75,200,3.12,101.68,1538425800,1735161,94,1008,298.68,299.15,298.15,Kuala Lumpur,MY,8132,0.0079,1538348415,1538391915,1,6000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}, {'id': 200, 'main': 'Thunderstorm', 'description': 'thunderstorm with light rain', 'icon': '11n'}]",46.0028,0.76,haze,50n,721,Haze
thunderstorm with light rain,11n,200,Thunderstorm
stations,75,200,3.12,101.68,1538427600,1735161,88,1009,298.62,299.15,298.15,Kuala Lumpur,MY,8138,0.0065,1538348415,1538391914,1,5000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",46.0028,0.76,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538429400,1735161,94,1008,298.68,299.15,298.15,Kuala Lumpur,MY,8132,0.0064,1538348415,1538391914,1,8000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",46.0028,0.76,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538431200,1735161,88,1009,298.62,299.15,298.15,Kuala Lumpur,MY,8138,0.083,1538348414,1538391913,1,5000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",46.0028,0.76,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538433000,1735161,94,1009,298.68,299.15,298.15,Kuala Lumpur,MY,8132,0.0552,1538348414,1538391913,1,8000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",1,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538434800,1735161,88,1010,298.62,299.15,298.15,Kuala Lumpur,MY,8138,0.0276,1538348414,1538391912,1,5000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",332.51,1.19,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538436600,1735161,94,1010,298.68,299.15,298.15,Kuala Lumpur,MY,8132,0.0127,1538434813,1538478312,1,8000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]",332.51,1.19,haze,50n,721,Haze
stations,75,200,3.12,101.68,1538438400,1735161,94,1011,298.62,299.15,298.15,Kuala Lumpur,MY,8138,0.0088,1538434813,1538478311,1,5000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",1,haze,50d,721,Haze
stations,75,200,3.12,101.68,1538440200,1735161,94,1010,299.15,299.15,299.15,Kuala Lumpur,MY,8132,0.1635,1538434813,1538478311,1,7000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",0.5,haze,50d,721,Haze
stations,75,200,3.12,101.68,1538442000,1735161,88,1012,299.68,300.15,299.15,Kuala Lumpur,MY,8138,0.0085,1538434813,1538478311,1,3000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",1,haze,50d,721,Haze
stations,75,200,3.12,101.68,1538443800,1735161,88,1011,299.62,300.15,299.15,Kuala Lumpur,MY,8132,0.0052,1538434812,1538478310,1,8000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",320,2.1,haze,50d,721,Haze
stations,75,200,3.12,101.68,1538445600,1735161,83,1012,301.15,301.15,301.15,Kuala Lumpur,MY,8138,0.0072,1538434812,1538478310,1,3000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",270,2.6,haze,50d,721,Haze
stations,75,200,3.12,101.68,1538447400,1735161,83,1012,301.15,301.15,301.15,Kuala Lumpur,MY,8132,0.0051,1538434812,1538478309,1,9000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",1.5,haze,50d,721,Haze
stations,75,200,3.12,101.68,1538449200,1735161,83,1012,301.74,303.15,300.15,Kuala Lumpur,MY,8138,0.0136,1538434811,1538478308,1,5000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",270,3.6,haze,50d,721,Haze
stations,75,200,3.12,101.68,1538451000,1735161,74,1011,301.57,303.15,300.15,Kuala Lumpur,MY,8132,0.0056,1538434811,1538478308,1,10000,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",1.5,haze,50d,721,Haze
stations,75,200,3.12,101.68,1538452800,1735161,74,1012,303.21,304.15,302.15,Kuala Lumpur,MY,8138,0.0071,1538434811,1538478307,1,8000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",290,2.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538454600,1735161,66,1010,303.57,305.15,302.15,Kuala Lumpur,MY,8132,0.0057,1538434810,1538478307,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",1.5,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538456400,1735161,66,1010,304.68,305.15,304.15,Kuala Lumpur,MY,8138,0.0052,1538434810,1538478306,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",1.5,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538458200,1735161,74,1009,304.15,304.15,304.15,Kuala Lumpur,MY,8132,0.0069,1538434810,1538478306,1,9000,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]",290,2.6,light intensity shower rain,09d,520,Rain
stations,75,200,3.12,101.68,1538460000,1735161,66,1009,304.68,305.15,304.15,Kuala Lumpur,MY,8138,0.005,1538434810,1538478305,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",250,2.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1538461800,1735161,66,1008,304.62,305.15,304.15,Kuala Lumpur,MY,8132,0.0078,1538434809,1538478305,1,9000,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}]",270,1.5,thunderstorm,11d,211,Thunderstorm
stations,75,200,3.12,101.68,1538463600,1735161,62,1008,305.15,305.15,305.15,Kuala Lumpur,MY,8138,0.0063,1538434809,1538478305,1,10000,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}, {'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",280,3.6,thunderstorm,11d,211,Thunderstorm
shower rain,09d,521,Rain
stations,75,200,3.12,101.68,1538465400,1735161,78,1007,302.78,305.15,300.15,Kuala Lumpur,MY,8132,0.0058,1538434809,1538478304,1,6000,"[{'id': 200, 'main': 'Thunderstorm', 'description': 'thunderstorm with light rain', 'icon': '11d'}]",110,6.2,thunderstorm with light rain,11d,200,Thunderstorm
stations,75,200,3.12,101.68,1538467200,1735161,66,1008,300.98,304.15,298.15,Kuala Lumpur,MY,8138,0.005,1538434808,1538478304,1,10000,"[{'id': 200, 'main': 'Thunderstorm', 'description': 'thunderstorm with light rain', 'icon': '11d'}]",330,5.1,thunderstorm with light rain,11d,200,Thunderstorm
stations,75,200,3.12,101.68,1538469000,1735161,88,1007,301.3,304.15,298.15,Kuala Lumpur,MY,8132,0.0076,1538434808,1538478303,1,9000,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}]",290,2.1,thunderstorm,11d,211,Thunderstorm
stations,75,200,3.12,101.68,1538470800,1735161,66,1008,300.98,304.15,298.15,Kuala Lumpur,MY,8138,0.0065,1538434808,1538478303,1,10000,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}]",290,4.1,thunderstorm,11d,211,Thunderstorm
stations,75,200,3.12,101.68,1538472600,1735161,83,1007,301.3,304.15,298.15,Kuala Lumpur,MY,8132,0.0056,1538434808,1538478302,1,9000,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}]",350,2.1,thunderstorm,11d,211,Thunderstorm
stations,90,200,3.12,101.68,1538474400,1735161,88,1009,298.68,299.15,298.15,Kuala Lumpur,MY,8138,0.0062,1538434807,1538478301,1,2000,"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}, {'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",1.5,thunderstorm,11d,211,Thunderstorm
shower rain,09d,521,Rain
stations,75,200,3.12,101.68,1538476200,1735161,88,1008,298.62,299.15,298.15,Kuala Lumpur,MY,8132,0.0046,1538434807,1538478301,1,8000,"[{'id': 201, 'main': 'Thunderstorm', 'description': 'thunderstorm with rain', 'icon': '11d'}, {'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",20,3.1,thunderstorm with rain,11d,201,Thunderstorm
shower rain,09d,521,Rain
stations,90,200,3.12,101.68,1538478000,1735161,88,1009,298.15,298.15,298.15,Kuala Lumpur,MY,8138,0.0062,1538434807,1538478300,1,10000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",1.5,overcast clouds,04d,804,Clouds
stations,75,200,3.12,101.68,1538479800,1735161,88,1009,298.15,298.15,298.15,Kuala Lumpur,MY,8132,0.0048,1538434806,1538478300,1,8000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",40,2.6,broken clouds,04n,803,Clouds
stations,75,200,3.12,101.68,1538481600,1735161,94,1010,298.15,298.15,298.15,Kuala Lumpur,MY,8138,0.005,1538434806,1538478299,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",328.004,3.11,broken clouds,04n,803,Clouds
stations,75,200,3.12,101.68,1538483400,1735161,88,1010,298.15,298.15,298.15,Kuala Lumpur,MY,8132,0.0066,1538434806,1538478299,1,9000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",20,2.6,broken clouds,04n,803,Clouds
stations,75,200,3.12,101.68,1538485200,1735161,88,1011,298.62,299.15,298.15,Kuala Lumpur,MY,8138,0.0067,1538434805,1538478298,1,9000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",328.004,3.11,broken clouds,04n,803,Clouds
stations,75,200,3.12,101.68,1538487000,1735161,88,1011,298.68,299.15,298.15,Kuala Lumpur,MY,8132,0.0155,1538434805,1538478298,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",20,3.1,broken clouds,04n,803,Clouds
stations,75,200,3.12,101.68,1538488800,1735161,83,1011,298.62,299.15,298.15,Kuala Lumpur,MY,8138,0.0267,1538434805,1538478297,1,9000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",1,broken clouds,04n,803,Clouds
